ha001:008	ha001:008	ha001:008	VERSE	Hab␣1:8␣
ha001:008	(1a)	-	UNTRANSLATED	
ha001:008	pers%3	@	-	Sen␣
ha001:008	3	@	-	hevoset␣
ha001:008	1b	@	-	ovat␣
ha001:008	1b	@	-	nopeammat␣
ha001:008	2a	@	-	kuin␣
ha001:008	2b	@	-	pantterit
ha001:008	(4a)	-	UNTRANSLATED	
ha001:008	-	(,)	-	,␣
ha001:008	4b	(@)	-	ne␣
ha001:008	4b	@	-	juoksevat␣
ha001:008	4b	@	-	kiivaammin␣
ha001:008	5a	@	-	kuin␣
ha001:008	5b	@	-	sudet␣
ha001:008	6	@	-	illoin
ha001:008	(7a)	-	UNTRANSLATED	
ha001:008	-	(.)	-	.␣
ha001:008	pers%8	@	-	Sen␣
ha001:008	8	@	-	ratsumiehet␣
ha001:008	7b	@	-	kiidättävät␣
ha001:008	(9a)	-	UNTRANSLATED	
ha001:008	-	(-)	-	-␣
ha001:008	10b	@	-	kaukaa␣
ha001:008	10a	%case	?	
ha001:008	11	@	-	tulevat␣
ha001:008	pers%9b	@	-	sen␣
ha001:008	9b	@	-	ratsumiehet
ha001:008	-	(,)	-	,␣
ha001:008	12	(@)	-	ne␣
ha001:008	12	@	-	lentävät
ha001:008	-	(,)	-	,␣
ha001:008	13a	@	-	niinkuin␣
ha001:008	13b	@	-	kotka␣
ha001:008	14	@	-	syöksyy␣
ha001:008	15b	@	-	syönnökselleen
ha001:008	15a	%case	LOC	
ha001:008	-	(.)	-	.␣
ha001:009	ha001:009	ha001:009	VERSE	Hab␣1:9␣
ha001:009	3	(@)	-	Se␣
ha001:009	3	@	-	tulee␣
ha001:009	1	@	-	kaikkinensa␣
ha001:009	2b	@	-	väkivallan␣
ha001:009	2b	@	-	tekoon
ha001:009	2a	%case	LOC	
ha001:009	-	(,)	-	,␣
ha001:009	pers%5	@	-	heidän␣
ha001:009	5	@	-	kasvojensa␣
ha001:009	4	@	-	suunta␣
ha001:009	-	(@)	-	on␣
ha001:009	6	@	-	suoraan␣
ha001:009	6	@	-	eteenpäin
ha001:009	(7a)	-	UNTRANSLATED	
ha001:009	-	(;)	-	;␣
ha001:009	7b	(@)	-	se␣
ha001:009	7b	@	-	kokoaa␣
ha001:009	9	@	-	vankeja␣
ha001:009	8a	@	-	kuin␣
ha001:009	8b	@	-	hietaa
ha001:009	-	(.)	-	.␣
ha001:010	ha001:010	ha001:010	VERSE	Hab␣1:10␣
ha001:010	(1a)	-	UNTRANSLATED	
ha001:010	3	@	-	Pilkkanaan␣
ha001:010	3	@	-	pitää␣
ha001:010	1b	@	-	se␣
ha001:010	2b	@	-	kuninkaat␣
ha001:010	2a	%case	NOM	
ha001:010	4a	@	-	ja␣
ha001:010	5	@	-	naurunansa␣
ha001:010	6	%pers	3	
ha001:010	4b	@	-	ruhtinaat
ha001:010	-	(.)	-	.␣
ha001:010	7	@	-	Se␣
ha001:010	10	@	-	nauraa␣
ha001:010	8b	@	-	kaikille␣
ha001:010	8a	%case	LOC	
ha001:010	9	@	-	varustuksille
ha001:010	(11a)	-	UNTRANSLATED	
ha001:010	-	(,)	-	,␣
ha001:010	11b	@	-	kasaa␣
ha001:010	11b	@	-	kokoon␣
ha001:010	12	@	-	hiekkaa␣
ha001:010	13a	@	-	ja␣
ha001:010	13b	@	-	valloittaa␣
ha001:010	pers%13b	@	-	ne
ha001:010	-	(.)	-	.␣
ha001:011	ha001:011	ha001:011	VERSE	Hab␣1:11␣
ha001:011	1	@	-	Sitten␣
ha001:011	2	(@)	-	se␣
ha001:011	3	@	-	tuulena␣
ha001:011	2	@	-	kiitää␣
ha001:011	4a	@	-	ja␣
ha001:011	4b	@	-	hyökkää
ha001:011	-	(,)	-	,␣
ha001:011	5a	@	-	mutta␣
