1t001:009	3	@	-	että␣
1t001:009	5	@	-	lakia␣
1t001:009	6	@	-	ei␣
1t001:009	7a	(@)	-	ole␣
1t001:009	7a	@	-	pantu␣
1t001:009	4	@	-	vanhurskaalle
1t001:009	7b	,	-	,␣
1t001:009	9	@	-	vaan␣
1t001:009	8	@	-	laittomille␣
1t001:009	10	@	-	ja␣
1t001:009	11a	@	-	niskoitteleville
1t001:009	11b	,	-	,␣
1t001:009	12	@	-	jumalattomille␣
1t001:009	13	@	-	ja␣
1t001:009	14a	@	-	syntisille
1t001:009	14b	,	-	,␣
1t001:009	15	@	-	epähurskaille␣
1t001:009	16	@	-	ja␣
1t001:009	17a	@	-	epäpyhille
1t001:009	17b	,	-	,␣
1t001:009	18	@	-	isänsä␣
1t001:009	18	@	-	tappajille␣
1t001:009	19	@	-	ja␣
1t001:009	20a	@	-	äitinsä␣
1t001:009	20a	@	-	tappajille
1t001:009	20b	,	-	,␣
1t001:009	21	@	-	murhamiehille
1t001:009	-	(,)	-	,␣
1t001:010	1t001:010	1t001:010	VERSE	1Tm␣1:10␣
1t001:010	1	@	-	haureellisille
1t001:010	-	(,)	-	,␣
1t001:010	2	@	-	miehimyksille
1t001:010	-	(,)	-	,␣
1t001:010	3	@	-	ihmiskauppiaille
1t001:010	-	(,)	-	,␣
1t001:010	4	@	-	valhettelijoille
1t001:010	-	(,)	-	,␣
1t001:010	5a	@	-	valapattoisille␣
1t001:010	6	@	-	ja␣
1t001:010	8	@	-	kaikelle␣
1t001:010	7	%case	LOC	
1t001:010	9	@	-	muulle
1t001:010	-	(,)	-	,␣
1t001:010	10	@	-	mikä␣
1t001:010	13	@	-	on␣
1t001:010	11	@	-	tervettä␣
1t001:010	12	@	-	oppia␣
1t001:010	13	@	-	vastaan␣
1t001:010	-	(-)	-	-␣
1t001:011	1t001:011	1t001:011	VERSE	1Tm␣1:11␣
1t001:011	7	@	-	autuaan␣
1t001:011	(6) 8a	@	-	Jumalan␣
1t001:011	(4) 5	@	-	kirkkauden␣
1t001:011	(2) 3	@	-	evankeliumin␣
1t001:011	1	@	-	mukaisesti
1t001:011	8b	,	-	,␣
1t001:011	9	@	-	joka␣
1t001:011	10	(@)	-	on␣
1t001:011	11a	@	-	minulle␣
1t001:011	10	@	-	uskottu
1t001:011	11b	.	-	.␣
1t001:012	1t001:012	1t001:012	VERSE	1Tm␣1:12␣
1t001:012	1 2	(@)	-	Minä␣
1t001:012	1 2	@	-	kiitän␣
1t001:012	3	@	-	häntä
1t001:012	-	(,)	-	,␣
1t001:012	3	@	-	joka␣
1t001:012	5	@	-	minulle␣
1t001:012	4	(@)	-	on␣
1t001:012	4	@	-	voimaa␣
1t001:012	4	@	-	antanut
1t001:012	-	(,)	-	,␣
1t001:012	6	@	-	Kristusta␣
1t001:012	7	@	-	Jeesusta
1t001:012	-	(,)	-	,␣
1t001:012	10a	@	-	meidän␣
1t001:012	(8) 9	@	-	Herraamme
1t001:012	-	(,)	-	,␣
1t001:012	-	(@)	-	siitä
1t001:012	10b	,	-	,␣
1t001:012	11	@	-	että␣
1t001:012	14	(@)	-	hän␣
1t001:012	14	@	-	katsoi␣
1t001:012	13	@	-	minut␣
1t001:012	12	@	-	uskolliseksi␣
1t001:012	-	(@)	-	ja␣
1t001:012	15	@	-	asetti␣
1t001:012	17	@	-	palvelukseensa␣
1t001:012	16	%case	LOC	
1t001:013	1t001:013	1t001:013	VERSE	1Tm␣1:13␣
1t001:013	-	(@)	-	minut
1t001:013	(1) (3)	-	UNTRANSLATED	
1t001:013	-	(,)	-	,␣
1t001:013	2	@	-	entisen␣
1t001:013	4	@	-	pilkkaajan␣
1t001:013	5	@	-	ja␣
1t001:013	6	@	-	vainoojan␣
1t001:013	7	@	-	ja␣
1t001:013	8a	@	-	väkivallantekijän
1t001:013	8b	.	-	.␣
1t001:013	9	@	-	Mutta␣
1t001:013	10a	(@)	-	minä␣
1t001:013	10a	@	-	sain␣
1t001:013	10a	@	-	laupeuden
1t001:013	10b	,	-	,␣
1t001:013	11	@	-	koska␣
1t001:013	13	(@)	-	olin␣
1t001:013	13	@	-	tehnyt␣
1t001:013	-	(@)	-	sitä␣
1t001:013	12	@	-	tietämättömänä
1t001:013	-	(,)	-	,␣
1t001:013	15a	@	-	epäuskossa
1t001:013	14	%case	LOC	
1t001:013	15b	;	-	;␣
1t001:014	1t001:014	1t001:014	VERSE	1Tm␣1:14␣
1t001:014	2	@	-	ja␣
1t001:014	7	@	-	meidän␣
1t001:014	(5) 6	@	-	Herramme␣
1t001:014	(3) 4	@	-	armo␣
1t001:014	1	@	-	oli␣
1t001:014	1	@	-	ylen␣
1t001:014	1	@	-	runsas
1t001:014	-	(,)	-	,␣
1t001:014	8	@	-	vaikuttaen␣
1t001:014	9	@	-	uskoa␣
1t001:014	10	@	-	ja␣
1t001:014	11	@	-	rakkautta
1t001:014	-	(,)	-	,␣
1t001:014	12	@	-	joka␣
1t001:014	-	(@)	-	on␣
