es001:006	21b	@	-	kirjavalla␣
es001:006	21b	@	-	marmorilla
es001:006	-	(.)	-	.␣
es001:007	es001:007	es001:007	VERSE	Est␣1:7␣
es001:007	(1a)	-	UNTRANSLATED	
es001:007	1b	@	-	Juotavaa␣
es001:007	1b	@	-	tarjottiin␣
es001:007	2b 3	@	-	kulta-astioissa
es001:007	2a	%case	LOC	
es001:007	-	(,)	-	,␣
es001:007	4a	@	-	ja␣
es001:007	4b	@	-	astiat␣
es001:007	-	(@)	-	olivat␣
es001:007	5a 5b 6	@	-	erimuotoiset
es001:007	-	(,)	-	,␣
es001:007	7a	@	-	ja␣
es001:007	8	@	-	kuninkaan␣
es001:007	7b	@	-	viiniä␣
es001:007	-	(@)	-	oli␣
es001:007	9	@	-	viljalti
es001:007	-	(,)	-	,␣
es001:007	(11a) 11b	@	-	kuninkaalliseen␣
es001:007	10b	@	-	tapaan
es001:007	10a	%case	LOC	
es001:007	-	(.)	-	.␣
es001:008	es001:008	es001:008	VERSE	Est␣1:8␣
es001:008	1a	@	-	Ja␣
es001:008	(1b) 1c	@	-	juomisessa␣
es001:008	-	(@)	-	oli␣
es001:008	2b	@	-	lakina
es001:008	2a	%case	ESS	
es001:008	-	(,)	-	,␣
es001:008	3	@	-	ettei␣
es001:008	-	(@)	-	saanut␣
es001:008	-	(@)	-	olla␣
es001:008	3	@	-	mitään␣
es001:008	4	@	-	pakkoa
es001:008	-	(,)	-	,␣
es001:008	5	@	-	sillä␣
es001:008	6	@	-	niin␣
es001:008	7	(@)	-	oli␣
es001:008	(8a) 8b	@	-	kuningas␣
es001:008	7	@	-	käskenyt␣
es001:008	10	@	-	kaikkia␣
es001:008	9	%case	PTV	
es001:008	11 12	@	-	hovimestareitansa
es001:008	-	(,)	-	,␣
es001:008	13a	@	-	että␣
es001:008	13b	(@)	-	oli␣
es001:008	13b	@	-	tehtävä␣
es001:008	15 16a 16b	@	-	kunkin␣
es001:008	-	(@)	-	oman␣
es001:008	14b	@	-	halun␣
es001:008	14a	@	-	mukaan
es001:008	-	(.)	-	.␣
es001:009	es001:009	es001:009	VERSE	Est␣1:9␣
es001:009	1	@	-	Myöskin␣
es001:009	(3a) 3b	@	-	kuningatar␣
es001:009	2	@	-	Vasti␣
es001:009	4	@	-	laittoi␣
es001:009	6	@	-	naisille␣
