rm001:006	8a	Χριστός/5547/5383	GEN.MASC.SG	Χριστοῦ	khristū
rm001:006	8b	-/-/-	-	,	,
rm001:007	1	πᾶς/3956/3821	ADJ.DAT.MASC.PL	πᾶσιν	pasin
rm001:007	2	ὁ/3588/3455	ART.DAT.MASC.PL	τοῖς	tois
rm001:007	3	εἰμί/1510&5723/1504	PRES.ACT.PART.DAT.MASC.PL	οὖσιν	ūsin
rm001:007	4	ἐν/1722/1714	PREP	ἐν	en
rm001:007	5	Ῥώμη/4516/4376	DAT.FEM.SG	Ῥώμῃ	rhōmē
rm001:007	6	ἀγαπητός/27/0027	ADJ.DAT.MASC.PL	ἀγαπητοῖς	agapētois
rm001:007	7a	θεός/2316/2298	GEN.MASC.SG	Θεοῦ	theū
rm001:007	7b	-/-/-	-	,	,
rm001:007	8	κλητός/2822/2807	ADJ.DAT.MASC.PL	κλητοῖς	klētois
rm001:007	9a	ἅγιος/40/0041	ADJ.DAT.MASC.PL	ἁγίοις	hagiois
rm001:007	9b	-/-/-	-	·	·
rm001:007	10	χάρις/5485/5324	NOM.FEM.SG	χάρις	kharis
rm001:007	11	σύ/4771/4624	PRON.DAT.2pl	ὑμῖν	hymin
rm001:007	12	καί/2532/2515	CNJ	καὶ	kai
rm001:007	13	εἰρήνη/1515/1509	NOM.FEM.SG	εἰρήνη	eirēnē
rm001:007	14	ἀπό/575/0575	PREP	ἀπὸ	apo
rm001:007	15	θεός/2316/2298	GEN.MASC.SG	Θεοῦ	theū
rm001:007	16	πατήρ/3962/3827	GEN.MASC.SG	Πατρὸς	patros
rm001:007	17	ἐγώ/1473/1476	PRON.GEN.1pl	ἡμῶν	hēmōn
rm001:007	18	καί/2532/2515	CNJ	καὶ	kai
rm001:007	19	κύριος/2962/2950	GEN.MASC.SG	Κυρίου	kyriū
rm001:007	20	Ἰησοῦς/2424/2406	GEN.MASC.SG	Ἰησοῦ	iēsū
rm001:007	21a	Χριστός/5547/5383	GEN.MASC.SG	Χριστοῦ	khristū
rm001:007	21b	-/-/-	-	.	.
rm001:008	1	πρῶτος/4412/4273	ADVTEMP	Πρῶτον	prōton
rm001:008	2	μέν/3303/3182	PRT	μὲν	men
rm001:008	3	εὐχαριστέω/2168&5719/2158	PRES.ACT.IND.1sg	εὐχαριστῶ	eukharistō
rm001:008	4	ὁ/3588/3455	ART.DAT.MASC.SG	τῷ	tō
rm001:008	5	θεός/2316/2298	DAT.MASC.SG	Θεῷ	theō
rm001:008	6	ἐγώ/1473/1476	PRON.GEN.1sg	μου	mū
rm001:008	7	διά/1223/1221	PREP	διὰ	dia
rm001:008	8	Ἰησοῦς/2424/2406	GEN.MASC.SG	Ἰησοῦ	iēsū
rm001:008	9	Χριστός/5547/5383	GEN.MASC.SG	Χριστοῦ	khristū
rm001:008	10	περί/4012/3877	PREP	περὶ	peri
rm001:008	11	πᾶς/3956/3821	ADJ.GEN.MASC.PL	πάντων	pantōn
