mk001:005	11	Ἱεροσολυμίτης/2415/2397	NOM.MASC.PL	Ἱεροσολυμεῖται	hierosolymeitai
mk001:005	12a	πᾶς/3956/3821	ADJ.NOM.MASC.PL	πάντες	pantes
mk001:005	12b	-/-/-	-	,	,
mk001:005	13	καί/2532/2515	CNJ	καὶ	kai
mk001:005	14	βαπτίζω/907&5712/0905	IMPF.PASS.IND.3pl	ἐβαπτίζοντο	ebaptidzonto
mk001:005	15	ὑπό/5259/5099	PREP	ὑπ’	hyp
mk001:005	16	αὐτός/846/0841	PRON.GEN.MASC.SG	αὐτοῦ	autū
mk001:005	17	ἐν/1722/1714	PREP	ἐν	en
mk001:005	18	ὁ/3588/3455	ART.DAT.MASC.SG	τῷ	tō
mk001:005	19	Ἰορδάνης/2446/2427	DAT.MASC.SG	Ἰορδάνῃ	iordanē
mk001:005	20	ποταμός/4215/4077	DAT.MASC.SG	ποταμῷ	potamō
mk001:005	21	ἐξομολογέω/1843&5734/1835	PRES.MID.PART.NOM.MASC.PL	ἐξομολογούμενοι	eksomologūmenoi
mk001:005	22	ὁ/3588/3455	ART.ACC.FEM.PL	τὰς	tas
mk001:005	23	ἁμαρτία/266/0265	ACC.FEM.PL	ἁμαρτίας	hamartias
mk001:005	24a	αὐτός/846/0841	PRON.GEN.MASC.PL	αὐτῶν	autōn
mk001:005	24b	-/-/-	-	.	.
mk001:006	1	καί/2532/2515	CNJ	καὶ	kai
mk001:006	2	εἰμί/1510&5707/1504	IMPF.ACT.IND.3sg	ἦν	ēn
mk001:006	3	ὁ/3588/3455	ART.NOM.MASC.SG	ὁ	ho
mk001:006	4	Ἰωάννης/2491/2471	NOM.MASC.SG	Ἰωάνης	iōanēs
mk001:006	5	ἐνδύω/1746&5765/1738	PERF.MID.PART.NOM.MASC.SG	ἐνδεδυμένος	endedymenos
mk001:006	6	θρίξ/2359/2341	ACC.FEM.PL	τρίχας	trikhas
mk001:006	7	κάμηλος/2574/2555	GEN.FEM.SG	καμήλου	kamēlū
mk001:006	8	καί/2532/2515	CNJ	καὶ	kai
mk001:006	9	ζώνη/2223/2213	ACC.FEM.SG	ζώνην	dzōnēn
mk001:006	10	δερμάτινος/1193/1193	ADJ.ACC.FEM.SG	δερματίνην	dermatinēn
mk001:006	11	περί/4012/3877	PREP	περὶ	peri
mk001:006	12	ὁ/3588/3455	ART.ACC.FEM.SG	τὴν	tēn
mk001:006	13	ὀσφῦς/3751/3618	ACC.FEM.SG	ὀσφὺν	osfyn
mk001:006	14	αὐτός/846/0841	PRON.GEN.MASC.SG	αὐτοῦ,	autū,
mk001:006	15	καί/2532/2515	CNJ	καὶ	kai
mk001:006	16	ἐσθίω/2068&5723/2059	PRES.ACT.PART.NOM.MASC.SG	ἔσθων	esthōn
mk001:006	17	ἀκρίς/200/0197	ACC.FEM.PL	ἀκρίδας	akridas
mk001:006	18	καί/2532/2515	CNJ	καὶ	kai
mk001:006	19	μέλι/3192/3173	ACC.NEUT.SG	μέλι	meli
mk001:006	20a	ἄγριος/66/0067	ADJ.ACC.NEUT.SG	ἄγριον	agrion
mk001:006	20b	-/-/-	-	.	.
mk001:007	1	καί/2532/2515	CNJ	καὶ	kai
mk001:007	2	κηρύσσω/2784&5707/2768	IMPF.ACT.IND.3sg	ἐκήρυσσεν	ekēryssen
mk001:007	3a	λέγω/3004&5723/2992	PRES.ACT.PART.NOM.MASC.SG	λέγων	legōn
mk001:007	3b	-/-/-	-	-	-
mk001:007	4	ἔρχομαι/2064&5736/2056	PRES.MID/PASS/DEP.IND.3sg	Ἔρχεται	erkhetai
mk001:007	5	ὁ/3588/3455	ART.NOM.MASC.SG	ὁ	ho
mk001:007	6	ἰσχυρός/2478/2458	ADJ.NOM.MASC.SG	ἰσχυρότερός	iskhyroteros
mk001:007	7	ἐγώ/1473/1476	PRON.GEN.1sg	μου	mū
mk001:007	8	ὀπίσω/3694/3564	ADV	ὀπίσω	opisō
mk001:007	9a	ἐγώ/1473/1476	PRON.GEN.1sg	μου	mū
mk001:007	9b	-/-/-	-	,	,
mk001:007	10	ὅς/3739/3607	REL.GEN.SG.MASC	οὗ	oho
mk001:007	11	οὐ/3756/3624	PRART.NOM	οὐκ	ūk
mk001:007	12	εἰμί/1510&5719/1504	PRES.ACT.IND.1sg	εἰμὶ	eimi
mk001:007	13	ἱκανός/2425/2407	ADJ.NOM.MASC.SG	ἱκανὸς	hikanos
mk001:007	14	κύπτω/2955&5660/2943	AOR.ACT.PART.NOM.MASC.SG	κύψας	kypsas
mk001:007	15	λύω/3089&5658/3077	AOR.ACT.INF	λῦσαι	lysai
mk001:007	16	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
mk001:007	17	ἱμάς/2438/2420	ACC.MASC.SG	ἱμάντα	himanta
mk001:007	18	ὁ/3588/3455	ART.GEN.NEUT.PL	τῶν	tōn
mk001:007	19	ὑπόδημα/5266/5106	GEN.NEUT.PL	ὑποδημάτων	hypodēmatōn
mk001:007	20a	αὐτός/846/0841	PRON.GEN.MASC.SG	αὐτοῦ	autū
mk001:007	20b	-/-/-	-	.	.
mk001:008	1	ἐγώ/1473/1476	PRON.NOM.1sg	ἐγὼ	egō
mk001:008	2	βαπτίζω/907&5656/0905	AOR.ACT.IND.1sg	ἐβάπτισα	ebaptisa
mk001:008	3	σύ/4771/4624	PRON.ACC.2pl	ὑμᾶς	hymas
mk001:008	4a	ὕδωρ/5204/5045	DAT.NEUT.SG	ὕδατι	hodati
mk001:008	4b	-/-/-	-	,	,
mk001:008	5	αὐτός/846/0841	PRON.NOM.MASC.SG	αὐτὸς	autos
mk001:008	6	δέ/1161/1160	CNJ	δὲ	de
mk001:008	7	βαπτίζω/907&5692/0905	FUT.ACT.IND.3sg	βαπτίσει	baptisei
mk001:008	8	σύ/4771/4624	PRON.ACC.2pl	ὑμᾶς	hymas
mk001:008	9	-/-/-	-	-	-
mk001:008	10	πνεῦμα/4151/4015	DAT.NEUT.SG	Πνεύματι	pneumati
mk001:008	11a	ἅγιος/40/0041	ADJ.DAT.NEUT.SG	Ἁγίῳ	hagiō
mk001:008	11b	-/-/-	-	.	.
mk001:009	1	καί/2532/2515	CNJ	Καὶ	kai
mk001:009	2	γίνομαι/1096/1095	2AOR.MID/DEP.IND.3sg	ἐγένετο	egeneto
mk001:009	3	ἐν/1722/1714	PREP	ἐν	en
mk001:009	4	ἐκεῖνος/1565/1556	DEM.DAT.PL.FEM	ἐκείναις	ekeinais
mk001:009	5	ὁ/3588/3455	ART.DAT.FEM.PL	ταῖς	tais
mk001:009	6	ἡμέρα/2250/2237	DAT.FEM.PL	ἡμέραις	hēmerais
mk001:009	7	ἔρχομαι/2064&5627/2056	2AOR.ACT.IND.3sg	ἦλθεν	ēlthen
mk001:009	8	Ἰησοῦς/2424/2406	NOM.MASC.SG	Ἰησοῦς	iēsūs
mk001:009	9	ἀπό/575/0575	PREP	ἀπὸ	apo
