rv001:004	9	χάρις/5485/5324	NOM.FEM.SG	χάρις	kharis
rv001:004	10	σύ/4771/4624	PRON.DAT.2pl	ὑμῖν	hymin
rv001:004	11	καί/2532/2515	CNJ	καὶ	kai
rv001:004	12	εἰρήνη/1515/1509	NOM.FEM.SG	εἰρήνη	eirēnē
rv001:004	13	ἀπό/575/0575	PREP	ἀπὸ	apo
rv001:004	14	ὁ/3588/3455	ART.NOM.MASC.SG	ὁ	ho
rv001:004	15	εἰμί/1510&5723/1504	PRES.ACT.PART.NOM.MASC.SG	ὢν	ōn
rv001:004	16	καί/2532/2515	CNJ	καὶ	kai
rv001:004	17	ὁ/3588/3455	ART.NOM.MASC.SG	ὁ	ho
rv001:004	18	εἰμί/1510&5707/1504	IMPF.ACT.IND.3sg	ἦν	ēn
rv001:004	19	καί/2532/2515	CNJ	καὶ	kai
rv001:004	20	ὁ/3588/3455	ART.NOM.MASC.SG	ὁ	ho
rv001:004	21	ἔρχομαι/2064&5740/2056	PRES.MID/PASS/DEP.PART.NOM.MASC.SG	ἐρχόμενος,	erkhomenos,
rv001:004	22	καί/2532/2515	CNJ	καὶ	kai
rv001:004	23	ἀπό/575/0575	PREP	ἀπὸ	apo
rv001:004	24	ὁ/3588/3455	ART.GEN.NEUT.PL	τῶν	tōn
rv001:004	25	ἑπτά/2033/2027	ADJ.NOM.IU	ἑπτὰ	hepta
rv001:004	26	πνεῦμα/4151/4015	GEN.NEUT.PL	Πνευμάτων	pneumatōn
rv001:004	27	ὅς/3739/3607	REL.NOM.PL.NEUT	ἃ	ha
rv001:004	28	ἐνώπιον/1799/1792	PREP	ἐνώπιον	enōpion
rv001:004	29	ὁ/3588/3455	ART.GEN.MASC.SG	τοῦ	tū
rv001:004	30	θρόνος/2362/2344	GEN.MASC.SG	θρόνου	thronū
rv001:004	31	αὐτός/846/0841	PRON.GEN.MASC.SG	αὐτοῦ,	autū,
rv001:005	1	καί/2532/2515	CNJ	καὶ	kai
rv001:005	2	ἀπό/575/0575	PREP	ἀπὸ	apo
rv001:005	3	Ἰησοῦς/2424/2406	GEN.MASC.SG	Ἰησοῦ	iēsū
rv001:005	4a	Χριστός/5547/5383	GEN.MASC.SG	Χριστοῦ	khristū
rv001:005	4b	-/-/-	-	,	,
rv001:005	5	ὁ/3588/3455	ART.NOM.MASC.SG	ὁ	ho
rv001:005	6a	μάρτυς/3144/3134	NOM.MASC.SG	μάρτυς	martys
rv001:005	6b	-/-/-	-	-	-
