ep001:005	3	εἰς/1519/1513	PREP	εἰς	eis
ep001:005	4	υἱοθεσία/5206/-	ACC.FEM.SG	υἱοθεσίαν	huiothesian
ep001:005	5	διά/1223/1221	PREP	διὰ	dia
ep001:005	6	Ἰησοῦς/2424/2406	GEN.MASC.SG	Ἰησοῦ	iēsū
ep001:005	7	Χριστός/5547/5383	GEN.MASC.SG	Χριστοῦ	khristū
ep001:005	8	εἰς/1519/1513	PREP	εἰς	eis
ep001:005	9a	αὐτός/846/0841	PRON.ACC.MASC.SG	αὐτόν	auton
ep001:005	9b	-/-/-	-	,	,
ep001:005	10	κατά/2596/2576	PREP	κατὰ	kata
ep001:005	11	ὁ/3588/3455	ART.ACC.FEM.SG	τὴν	tēn
ep001:005	12	εὐδοκία/2107/2095	ACC.FEM.SG	εὐδοκίαν	eudokian
ep001:005	13	ὁ/3588/3455	ART.GEN.NEUT.SG	τοῦ	tū
ep001:005	14	θέλημα/2307/2289	GEN.NEUT.SG	θελήματος	thelēmatos
ep001:005	15a	αὐτός/846/0841	PRON.GEN.MASC.SG	αὐτοῦ	autū
ep001:005	15b	-/-/-	-	,	,
ep001:006	1	εἰς/1519/1513	PREP	εἰς	eis
ep001:006	2	ἔπαινος/1868/1861	ACC.MASC.SG	ἔπαινον	epainon
ep001:006	3	δόξα/1391/1393	GEN.FEM.SG	δόξης	doksēs
ep001:006	4	ὁ/3588/3455	ART.GEN.FEM.SG	τῆς	tēs
ep001:006	5	χάρις/5485/5324	GEN.FEM.SG	χάριτος	kharitos
ep001:006	6	αὐτός/846/0841	PRON.GEN.MASC.SG	αὐτοῦ	autū
ep001:006	7	ὅς/3739/3607	REL.GEN.SG.FEM	ἧς	hēs
ep001:006	8	χαριτόω/5487&5656/5326	AOR.ACT.IND.3sg	ἐχαρίτωσεν	ekharitōsen
ep001:006	9	ἐγώ/1473/1476	PRON.ACC.1pl	ἡμᾶς	hēmas
ep001:006	10	ἐν/1722/1714	PREP	ἐν	en
ep001:006	11	ὁ/3588/3455	ART.DAT.MASC.SG	τῷ	tō
ep001:006	12a	ἀγαπάω/25&5772/0025	PERF.PASS.PART.DAT.MASC.SG	Ἠγαπημένῳ	hēgapēmenō
ep001:006	12b	-/-/-	-	,	,
ep001:007	1	ἐν/1722/1714	PREP	ἐν	en
ep001:007	2	ὅς/3739/3607	REL.DAT.SG.MASC	ᾧ	hō
ep001:007	3	ἔχω/2192&5719/2182	PRES.ACT.IND.1pl	ἔχομεν	ekhomen
ep001:007	4	ὁ/3588/3455	ART.ACC.FEM.SG	τὴν	tēn
ep001:007	5	ἀπολύτρωσις/629/0628	ACC.FEM.SG	ἀπολύτρωσιν	apolytrōsin
ep001:007	6	διά/1223/1221	PREP	διὰ	dia
ep001:007	7	ὁ/3588/3455	ART.GEN.NEUT.SG	τοῦ	tū
ep001:007	8	αἷμα/129/-	GEN.NEUT.SG	αἵματος	haimatos
ep001:007	9a	αὐτός/846/0841	PRON.GEN.MASC.SG	αὐτοῦ	autū
ep001:007	9b	-/-/-	-	,	,
ep001:007	10	ὁ/3588/3455	ART.ACC.FEM.SG	τὴν	tēn
ep001:007	11	ἄφεσις/859/0855	ACC.FEM.SG	ἄφεσιν	afesin
ep001:007	12	ὁ/3588/3455	ART.GEN.NEUT.PL	τῶν	tōn
ep001:007	13a	παράπτωμα/3900/3763	GEN.NEUT.PL	παραπτωμάτων	paraptōmatōn
ep001:007	13b	-/-/-	-	,	,
ep001:007	14	κατά/2596/2576	PREP	κατὰ	kata
ep001:007	15	ὁ/3588/3455	ART.ACC.NEUT.SG	τὸ	to
ep001:007	16	πλοῦτος/4149/4013	ACC.NEUT.SG	πλοῦτος	plūtos
ep001:007	17	ὁ/3588/3455	ART.GEN.FEM.SG	τῆς	tēs
ep001:007	18	χάρις/5485/5324	GEN.FEM.SG	χάριτος	kharitos
ep001:007	19	αὐτός/846/0841	PRON.GEN.MASC.SG	αὐτοῦ	autū
ep001:008	1	ὅς/3739/3607	REL.GEN.SG.FEM	ἧς	hēs
ep001:008	2	περισσεύω/4052&5656/3918	AOR.ACT.IND.3sg	ἐπερίσσευσεν	eperisseusen
ep001:008	3	εἰς/1519/1513	PREP	εἰς	eis
ep001:008	4a	ἐγώ/1473/1476	PRON.ACC.1pl	ἡμᾶς	hēmas
ep001:008	4b	-/-/-	-	-	-
ep001:008	5	ἐν/1722/1714	PREP	ἐν	en
