lk001:005	27a	Ἐλισάβετ/1665/1659	PR	Ἐλεισάβετ	eleisabet
lk001:005	27b	-/-/-	-	.	.
lk001:006	1	εἰμί/1510&5707/1504	IMPF.ACT.IND.3pl	ἦσαν	ēsan
lk001:006	2	δέ/1161/1160	CNJ	δὲ	de
lk001:006	3	δίκαιος/1342/1341	ADJ.NOM.MASC.PL	δίκαιοι	dikaioi
lk001:006	4	ἀμφότεροι/297/0298	ADJ.NOM.MASC.PL	ἀμφότεροι	amfoteroi
lk001:006	5	ἐναντίον/1726/1718	PREP	ἐναντίον	enantion
lk001:006	6	ὁ/3588/3455	ART.GEN.MASC.SG	τοῦ	tū
lk001:006	7a	θεός/2316/2298	GEN.MASC.SG	Θεοῦ	theū
lk001:006	7b	-/-/-	-	,	,
lk001:006	8	πορεύομαι/4198&5740/4061	PRES.MID/PASS/DEP.PART.NOM.MASC.PL	πορευόμενοι	poreuomenoi
lk001:006	9	ἐν/1722/1714	PREP	ἐν	en
lk001:006	10	πᾶς/3956/3821	ADJ.DAT.FEM.PL	πάσαις	pasais
lk001:006	11	ὁ/3588/3455	ART.DAT.FEM.PL	ταῖς	tais
lk001:006	12	ἐντολή/1785/1778	DAT.FEM.PL	ἐντολαῖς	entolais
lk001:006	13	καί/2532/2515	CNJ	καὶ	kai
lk001:006	14	δικαίωμα/1345/1344	DAT.NEUT.PL	δικαιώμασιν	dikaiōmasin
lk001:006	15	ὁ/3588/3455	ART.GEN.MASC.SG	τοῦ	tū
lk001:006	16	κύριος/2962/2950	GEN.MASC.SG	Κυρίου	kyriū
lk001:006	17a	ἄμεμπτος/273/0272	ADJ.NOM.MASC.PL	ἄμεμπτοι	amemptoi
lk001:006	17b	-/-/-	-	.	.
lk001:007	1	καί/2532/2515	CNJ	καὶ	kai
lk001:007	2	οὐ/3756/3624	PRART.NOM	οὐκ	ūk
lk001:007	3	εἰμί/1510&5707/1504	IMPF.ACT.IND.3sg	ἦν	ēn
lk001:007	4	αὐτός/846/0841	PRON.DAT.MASC.PL	αὐτοῖς	autois
lk001:007	5a	τέκνον/5043/4892	NOM.NEUT.SG	τέκνον	teknon
lk001:007	5b	-/-/-	-	,	,
lk001:007	6	καθότι/2530/2512	CNJ	καθότι	kathoti
lk001:007	7	εἰμί/1510&5707/1504	IMPF.ACT.IND.3sg	ἦν	ēn
lk001:007	8	ὁ/3588/3455	ART.NOM.FEM.SG	ἡ	hē
lk001:007	9	Ἐλισάβετ/1665/1659	PR	Ἐλεισάβετ	eleisabet
lk001:007	10a	στεῖρα/4723/4577	NOM.FEM.SG	στεῖρα	steira
lk001:007	10b	-/-/-	-	,	,
lk001:007	11	καί/2532/2515	CNJ	καὶ	kai
lk001:007	12	ἀμφότεροι/297/0298	ADJ.NOM.MASC.PL	ἀμφότεροι	amfoteroi
lk001:007	13	προβαίνω/4260&5761/4121	PERF.ACT.PART.NOM.MASC.PL	προβεβηκότες	probebēkotes
lk001:007	14	ἐν/1722/1714	PREP	ἐν	en
lk001:007	15	ὁ/3588/3455	ART.DAT.FEM.PL	ταῖς	tais
lk001:007	16	ἡμέρα/2250/2237	DAT.FEM.PL	ἡμέραις	hēmerais
lk001:007	17	αὐτός/846/0841	PRON.GEN.MASC.PL	αὐτῶν	autōn
lk001:007	18a	εἰμί/1510&5707/1504	IMPF.ACT.IND.3pl	ἦσαν	ēsan
lk001:007	18b	-/-/-	-	.	.
lk001:008	1	γίνομαι/1096&5633/1095	2AOR.MID/DEP.IND.3sg	Ἐγένετο	egeneto
lk001:008	2	δέ/1161/1160	CNJ	δὲ	de
lk001:008	3	ἐν/1722/1714	PREP	ἐν	en
lk001:008	4	ὁ/3588/3455	ART.DAT.NEUT.SG	τῷ	tō
lk001:008	5	ἱερατεύω/2407&5721/2388	PRES.ACT.INF	ἱερατεύειν	hierateuein
lk001:008	6	αὐτός/846/0841	PRON.ACC.MASC.SG	αὐτὸν	auton
lk001:008	7	ἐν/1722/1714	PREP	ἐν	en
lk001:008	8	ὁ/3588/3455	ART.DAT.FEM.SG	τῇ	tē
lk001:008	9	τάξις/5010/4864	DAT.FEM.SG	τάξει	taksei
lk001:008	10	ὁ/3588/3455	ART.GEN.FEM.SG	τῆς	tēs
lk001:008	11	ἐφημερία/2183/2172	GEN.FEM.SG	ἐφημερίας	efēmerias
lk001:008	12	αὐτός/846/0841	PRON.GEN.MASC.SG	αὐτοῦ	autū
lk001:008	13	ἔναντι/1725/1717	PREP	ἔναντι	enanti
lk001:008	14	ὁ/3588/3455	ART.GEN.MASC.SG	τοῦ	tū
lk001:008	15a	θεός/2316/2298	GEN.MASC.SG	Θεοῦ	theū
lk001:008	15b	-/-/-	-	,	,
lk001:009	1	κατά/2596/2576	PREP	κατὰ	kata
lk001:009	2	ὁ/3588/3455	ART.ACC.NEUT.SG	τὸ	to
lk001:009	3	ἔθος/1485/1488	ACC.NEUT.SG	ἔθος	ethos
lk001:009	4	ὁ/3588/3455	ART.GEN.FEM.SG	τῆς	tēs
lk001:009	5	ἱερατεία/2405/2386	GEN.FEM.SG	ἱερατείας	hierateias
lk001:009	6	λαγχάνω/2975&5627/2963	2AOR.ACT.IND.3sg	ἔλαχε	elakhe
lk001:009	7	ὁ/3588/3455	ART.GEN.NEUT.SG	τοῦ	tū
lk001:009	8	θυμιάω/2370&5658/2352	AOR.ACT.INF	θυμιᾶσαι	thymiasai
lk001:009	9	εἰσέρχομαι/1525&5631/1519	2AOR.ACT.PART.NOM.MASC.SG	εἰσελθὼν	eiselthōn
lk001:009	10	εἰς/1519/1513	PREP	εἰς	eis
lk001:009	11	ὁ/3588/3455	ART.ACC.MASC.SG	τὸν	ton
lk001:009	12	ναός/3485/3356	ACC.MASC.SG	ναὸν	naon
lk001:009	13	ὁ/3588/3455	ART.GEN.MASC.SG	τοῦ	tū
lk001:009	14a	κύριος/2962/2950	GEN.MASC.SG	Κυρίου	kyriū
lk001:009	14b	-/-/-	-	,	,
lk001:010	1	καί/2532/2515	CNJ	καὶ	kai
lk001:010	2	πᾶς/3956/3821	ADJ.NOM.NEUT.SG	πᾶν	pan
lk001:010	3	ὁ/3588/3455	ART.NOM.NEUT.SG	τὸ	to
lk001:010	4	πλῆθος/4128/3992	NOM.NEUT.SG	πλῆθος	plēthos
lk001:010	5	εἰμί/1510&5707/1504	IMPF.ACT.IND.3sg	ἦν	ēn
lk001:010	6	ὁ/3588/3455	ART.GEN.MASC.SG	τοῦ	tū
lk001:010	7	λαός/2992/2983	GEN.MASC.SG	λαοῦ	laū
lk001:010	8	προσεύχομαι/4336&5740/4198	PRES.MID/PASS/DEP.PART.NOM.NEUT.SG	προσευχόμενον	proseukhomenon
lk001:010	9	ἔξω/1854/1846	ADV	ἔξω	eksō
lk001:010	10	ὁ/3588/3455	ART.DAT.FEM.SG	τῇ	tē
lk001:010	11	ὥρα/5610/5443	DAT.FEM.SG	ὥρᾳ	hōra
lk001:010	12	ὁ/3588/3455	ART.GEN.NEUT.SG	τοῦ	tū
lk001:010	13a	θυμίαμα/2368/2350	GEN.NEUT.SG	θυμιάματος	thymiamatos
lk001:010	13b	-/-/-	-	.	.
lk001:011	1	ὁράω/3708&5681/3577	AOR.PASS.IND.3sg	ὤφθη	ōfthē
lk001:011	2	δέ/1161/1160	CNJ	δὲ	de
lk001:011	3	αὐτός/846/0841	PRON.DAT.MASC.SG	αὐτῷ	autō
lk001:011	4	ἄγγελος/32/0033	NOM.MASC.SG	ἄγγελος	angelos
lk001:011	5	κύριος/2962/2950	GEN.MASC.SG	Κυρίου	kyriū
lk001:011	6	ἵστημι/2476&5761/2456	PERF.ACT.PART.NOM.MASC.SG	ἑστὼς	hestōs
lk001:011	7	ἐκ/1537/1529	PREP	ἐκ	ek
lk001:011	8	δεξιός/1188/1187	ADJ.GEN.NEUT.PL	δεξιῶν	deksiōn
lk001:011	9	ὁ/3588/3455	ART.GEN.NEUT.SG	τοῦ	tū
lk001:011	10	θυσιαστήριον/2379/2361	GEN.NEUT.SG	θυσιαστηρίου	thysiastēriū
lk001:011	11	ὁ/3588/3455	ART.GEN.NEUT.SG	τοῦ	tū
lk001:011	12a	θυμίαμα/2368/2350	GEN.NEUT.SG	θυμιάματος	thymiamatos
lk001:011	12b	-/-/-	-	.	.
lk001:012	1	καί/2532/2515	CNJ	καὶ	kai
lk001:012	2	ταράσσω/5015&5681/4870	AOR.PASS.IND.3sg	ἐταράχθη	etarakhthē
lk001:012	3	Ζαχαρίας/2197/2187	NOM.MASC.SG	Ζαχαρίας	dzakharias
lk001:012	4	ὁράω/3708&5631/3577	2AOR.ACT.PART.NOM.MASC.SG	ἰδών,	idōn,
lk001:012	5	καί/2532/2515	CNJ	καὶ	kai
lk001:012	6	φόβος/5401/5242	NOM.MASC.SG	φόβος	fobos
lk001:012	7	ἐπιπίπτω/1968&5627/1962	2AOR.ACT.IND.3sg	ἐπέπεσεν	epepesen
lk001:012	8	ἐπί/1909/1903	PREP	ἐπ’	ep
lk001:012	9a	αὐτός/846/0841	PRON.ACC.MASC.SG	αὐτόν	auton
lk001:012	9b	-/-/-	-	.	.
lk001:013	1	λέγω/3004&5627/2992	2AOR.ACT.IND.3sg	εἶπεν	eipen
lk001:013	2	δέ/1161/1160	CNJ	δὲ	de
lk001:013	3	πρός/4314/4177	PREP	πρὸς	pros
lk001:013	4	αὐτός/846/0841	PRON.ACC.MASC.SG	αὐτὸν	auton
lk001:013	5	ὁ/3588/3455	ART.NOM.MASC.SG	ὁ	ho
lk001:013	6a	ἄγγελος/32/0033	NOM.MASC.SG	ἄγγελος	angelos
lk001:013	6b	-/-/-	-	-	-
lk001:013	7	μή/3361/3243	PRART.NOM	Μὴ	mē
lk001:013	8a	φοβέω/5399&5737/5240	PRES.MID/PASS/DEP.IMP.2sg	φοβοῦ	fobū
lk001:013	8b	-/-/-	-	,	,
lk001:013	9a	Ζαχαρίας/2197/2187	VOC.MASC.SG	Ζαχαρία	dzakharia
lk001:013	9b	-/-/-	-	,	,
lk001:013	10	διότι/1360/1360	CNJ	διότι	dioti
lk001:013	11	εἰσακούω/1522&5681/1516	AOR.PASS.IND.3sg	εἰσηκούσθη	eisēkūsthē
lk001:013	12	ὁ/3588/3455	ART.NOM.FEM.SG	ἡ	hē
lk001:013	13	δέησις/1162/1161	NOM.FEM.SG	δέησίς	deēsis
lk001:013	14a	σύ/4771/4624	PRON.GEN.2sg	σου	sū
lk001:013	14b	-/-/-	-	,	,
lk001:013	15	καί/2532/2515	CNJ	καὶ	kai
lk001:013	16	ὁ/3588/3455	ART.NOM.FEM.SG	ἡ	hē
lk001:013	17	γυνή/1135/1134	NOM.FEM.SG	γυνή	gynē
lk001:013	18	σύ/4771/4624	PRON.GEN.2sg	σου	sū
lk001:013	19	Ἐλισάβετ/1665/1659	PR	Ἐλεισάβετ	eleisabet
lk001:013	20	γεννάω/1080&5692/1080	FUT.ACT.IND.3sg	γεννήσει	gennēsei
lk001:013	21	υἱός/5207/-	ACC.MASC.SG	υἱόν	huion
lk001:013	22	σύ/4771/4624	PRON.DAT.2sg	σοι,	soi,
lk001:013	23	καί/2532/2515	CNJ	καὶ	kai
lk001:013	24	καλέω/2564&5692/2546	FUT.ACT.IND.2sg	καλέσεις	kaleseis
lk001:013	25	ὁ/3588/3455	ART.ACC.NEUT.SG	τὸ	to
lk001:013	26	ὄνομα/3686/3556	ACC.NEUT.SG	ὄνομα	onoma
lk001:013	27	αὐτός/846/0841	PRON.GEN.MASC.SG	αὐτοῦ	autū
lk001:013	28a	Ἰωάννης/2491/2471	ACC.MASC.SG	Ἰωάνην	iōanēn
lk001:013	28b	-/-/-	-	·	·
lk001:014	1	καί/2532/2515	CNJ	καὶ	kai
lk001:014	2	εἰμί/1510&5695/1504	FUT.MID/DEP.IND.3sg	ἔσται	estai
lk001:014	3	χαρά/5479/5318	NOM.FEM.SG	χαρά	khara
lk001:014	4	σύ/4771/4624	PRON.DAT.2sg	σοι	soi
lk001:014	5	καί/2532/2515	CNJ	καὶ	kai
lk001:014	6	ἀγαλλίασις/20/0020	NOM.FEM.SG	ἀγαλλίασις,	agalliasis,
lk001:014	7	καί/2532/2515	CNJ	καὶ	kai
lk001:014	8	πολύς/4183/4047	ADJ.NOM.MASC.PL	πολλοὶ	polloi
lk001:014	9	ἐπί/1909/1903	PREP	ἐπὶ	epi
lk001:014	10	ὁ/3588/3455	ART.DAT.FEM.SG	τῇ	tē
lk001:014	11	γένεσις/1078/1077	DAT.FEM.SG	γενέσει	genesei
lk001:014	12	αὐτός/846/0841	PRON.GEN.MASC.SG	αὐτοῦ	autū
lk001:014	13a	χαίρω/5463&5690/5302	2FUT.PASS/DEP.IND.3pl	χαρήσονται	kharēsontai
lk001:014	13b	-/-/-	-	.	.
lk001:015	1	εἰμί/1510&5695/1504	FUT.MID/DEP.IND.3sg	ἔσται	estai
lk001:015	2	γάρ/1063/1062	CNJ	γὰρ	gar
lk001:015	3	μέγας/3173/3158	ADJ.NOM.MASC.SG	μέγας	megas
lk001:015	4a	ἐνώπιον/1799/1792	PREP	ἐνώπιον	enōpion
lk001:015	4b	-/-/-	-	-	-
lk001:015	5a	-/-/-	-	-	-
lk001:015	5b	-/-/-	-	-	-
lk001:015	6a	κύριος/2962/2950	GEN.MASC.SG	Κυρίου	kyriū
lk001:015	6b	-/-/-	-	,	,
lk001:015	7	καί/2532/2515	CNJ	καὶ	kai
lk001:015	8	οἶνος/3631/3499	ACC.MASC.SG	οἶνον	oinon
lk001:015	9	καί/2532/2515	CNJ	καὶ	kai
lk001:015	10	σίκερα/4608/4464	OI	σίκερα	sikera
lk001:015	11	οὐ/3756/3624	PRART.NOM	οὐ	ū
lk001:015	12	μή/3361/3243	PRART.NOM	μὴ	mē
