lm001:004	11	-/584/0571	-	נֶאֱנָחִ֑ים	neʾĕnāḥîm
lm001:004	12	-/1330/1272	FEM.PL.CSTR-3fs	בְּתוּלֹתֶ֥יהָ	bĕtūlotê-hā
lm001:004	14a	-/c/9191	CNJ	וְ	wĕ
lm001:004	14b	-/1931/1858	PRON	הִ֥יא	hîʾ
lm001:004	15	-/4751/4601	Qal.3ms.PERF	מַר־	mar-
lm001:004	16	-/l/-	PREP	לָֽהּ׃	l-āh
lm001:004	17=í	-/-	-	ס	s
lm001:005	1	-/1961/1861	Qal.3cp.PERF	הָי֨וּ	hāyū
lm001:005	2	-/6862c/6580	MASC.PL.CSTR-3fs	צָרֶ֤יהָ	ṣārê-hā
lm001:005	3a	-/l/3599	PREP	לְ	lĕ
lm001:005	3b	-/7218a/6930	MASC.SG.ABS	רֹאשׁ֙	roʾš
lm001:005	4	-/341/0331	Qal.MASC.PL.ACT.PCP.CSTR-3fs	אֹיְבֶ֣יהָ	ʾoyĕbê-hā
lm001:005	5	-/7951/7708	Qal.3cp.PERF	שָׁל֔וּ	šālū
lm001:005	6	-/3588a/-	CNJ	כִּֽי־	kî-
lm001:005	7	-/3068/2923	PR	יְהוָ֥ה	yĕhwāh
lm001:005	8	-/3013/2877	Hiph.3ms.PERF-3fs	הוֹגָ֖הּ	howg-āh
lm001:005	9	-/5921a/5649	PREP	עַ֣ל	ʿal
lm001:005	10	-/7230/-	MASC.SG.CSTR	רֹב־	rob-
lm001:005	11	-/6588/6302	MASC.PL.CSTR-3fs	פְּשָׁעֶ֑יהָ	pĕšāʿê-hā
lm001:005	12	-/5768/5498	MASC.PL.CSTR-3fs	עוֹלָלֶ֛יהָ	ʿowlālê-hā
lm001:005	13	-/1980/-	Qal.3cp.PERF	הָלְכ֥וּ	hālĕḵū
lm001:005	14	-/7628a/7481	MASC.SG.ABS	שְׁבִ֖י	šĕbî
lm001:005	15a	-/l/-	PREP	לִ	li
lm001:005	15b	-/6440/-	PL.CSTR	פְנֵי־	fĕnê-
lm001:005	16	-/6862c/6580	MASC.SG.ABS	צָֽר׃	ṣār
lm001:005	17=í	-/-	-	ס	s
lm001:006	1a	-/c/-	CNJ	וַ	wa
lm001:006	1b	-/3318/-	3ms.SEQ.IMPF	יֵּצֵ֥א	yēṣēʾ
lm001:006	2a=í	-/-/4247	-	מִנ־	min-
lm001:006	2b=í	-/-/1262	-	בת־	bat-
lm001:006	3a	-/m/4247	-	מִ	mi
lm001:006	3b	-/1323/1262	-	בַּת־	bat-
lm001:006	4	-/1323/6444	PR	צִיּ֖וֹן	ṣîown
lm001:006	5	-/3605/3409	MASC.SG.CSTR	כָּל־	kāl-
lm001:006	6	-/1926/1829	MASC.SG.CSTR-3fs	הֲדָרָ֑הּ	hădār-āh
lm001:006	7	-/1961/1861	Qal.3cp.PERF	הָי֣וּ	hāyū
lm001:006	8	-/8269/7401	MASC.PL.CSTR-3fs	שָׂרֶ֗יהָ	śārê-hā
lm001:006	9a	-/k/-	PREP	כְּ	kĕ
lm001:006	9b	-/354/0348	PL.ABS	אַיָּלִים֙	ʾayālîm
lm001:006	10	-/3808/-	NEG	לֹא־	loʾ-
lm001:006	11	-/4672/4438	Qal.3cp.PERF	מָצְא֣וּ	māṣĕʾū
lm001:006	12	-/4829/-	MASC.SG.ABS	מִרְעֶ֔ה	mirĕʿeh
lm001:006	13a	-/c/-	CNJ	וַ	wa
lm001:006	13b	-/3212/-	3mp.SEQ.IMPF	יֵּלְכ֥וּ	yēlĕḵū
lm001:006	14a	-/b/9082	PREP	בְ	bĕ
lm001:006	14b	-/3808/-	NEG	לֹא־	loʾ-
lm001:006	15	-/3581b/3385	MASC.SG.ABS	כֹ֖חַ	ḵoăḥ
lm001:006	16a	-/l/-	PREP	לִ	li
lm001:006	16b	-/6440/6159	PL.CSTR	פְנֵ֥י	fĕnê
lm001:006	17	-/7291/6994	Qal.MASC.SG.ACT.PCP.ABS	רוֹדֵֽף׃	rowdēf
lm001:006	18=í	-/-	-	ס	s
lm001:007	1	-/2142/2030	Qal.3fs.PERF	זָֽכְרָ֣ה	zāḵĕrāh
lm001:007	2	-/3389/3202	PR	יְרוּשָׁלִַ֗ם	yĕrūšālaim
lm001:007	3	-/3117/2955	MASC.PL.CSTR	יְמֵ֤י	yĕmê
lm001:007	4	-/6040/5758	MASC.SG.CSTR-3fs	עָנְיָהּ֙	ʿānĕy-āh
lm001:007	5a	-/c/-	CNJ	וּ	ū
lm001:007	5b	-/4788/4548	MASC.PL.CSTR-3fs	מְרוּדֶ֔יהָ	mĕrūdê-hā
lm001:007	6	-/3605/3409	MASC.SG.CSTR	כֹּ֚ל	kol
lm001:007	7	-/4262/4035	MASC.PL.CSTR-3fs	מַחֲמֻדֶ֔יהָ	maḥămudê-hā
lm001:007	8	-/834a/0799	REL	אֲשֶׁ֥ר	ʾăšer
lm001:007	9	-/1961/1861	Qal.3cp.PERF	הָי֖וּ	hāyū
