am001:005	1a	-/c/9191	CNJ	וְ	wĕ
am001:005	1b	-/7665/7505	1cs.SEQ.PERF	שָֽׁבַרְתִּי֙	šābarĕtî
am001:005	2	-/1280/1222	MASC.SG.CSTR	בְּרִ֣יחַ	bĕrîăḥ
am001:005	3	-/1834/1746	PR	דַּמֶּ֔שֶׂק	dameśeq
am001:005	4a	-/c/9191	CNJ	וְ	wĕ
am001:005	4b	-/3772/-	1cs.SEQ.PERF	הִכְרַתִּ֤י	hiḵĕratî
am001:005	5	-/3427/3246	Qal.MASC.SG.ACT.PCP.ABS	יוֹשֵׁב֙	yowšēb
am001:005	6a	-/m/4247	PREP	מִ	mi
am001:005	6b	-/1237/-	PR	בִּקְעַת־אָ֔וֶן	biqĕʿat-ʾāwen
am001:005	7a	-/c/9191	CNJ	וְ	wĕ
am001:005	7b	-/8551/-	MASC.SG.ACT.PCP.CSTR	תוֹמֵ֥ךְ	towmēḵ
am001:005	8	-/7626/7479	MASC.SG.ABS	שֵׁ֖בֶט	šēbeṭ
am001:005	9a	-/m/4247	PREP	מִ	mi
am001:005	9b	-/1004b/0987	PR	בֵּ֣ית עֶ֑דֶן	bêt_ʿeden
am001:005	10a	-/c/9191	CNJ	וְ	wĕ
am001:005	10b	-/1540/1473	3cp.SEQ.PERF	גָל֧וּ	gālū
am001:005	11	-/5971a/5691	MASC.SG.CSTR	עַם־	ʿam-
am001:005	12	-/758/0723	PR	אֲרָ֛ם	ʾărām
am001:005	13	-/7024b/6734	PR-DIR	קִ֖ירָה	qîr-āh
am001:005	14	-/559/0546	Qal.3ms.PERF	אָמַ֥ר	ʾāmar
am001:005	15	-/3068/2923	PR	יְהוָֽה׃	yĕhwāh
am001:005	16=í	-/-	-	פ	f
am001:006	1	-/3541/3350	ADV	כֹּ֚ה	koh
am001:006	2	-/559/0546	Qal.3ms.PERF	אָמַ֣ר	ʾāmar
am001:006	3	-/3068/2923	PR	יְהוָ֔ה	yĕhwāh
am001:006	4	-/5921a/-	PREP	עַל־	ʿal-
am001:006	5	-/7969/-	CARD.MASC.SG.ABS	שְׁלֹשָׁה֙	šĕlošāh
am001:006	6	-/6588/6302	MASC.PL.CSTR	פִּשְׁעֵ֣י	pišĕʿê
am001:006	7	-/5804/5531	PR	עַזָּ֔ה	ʿazāh
am001:006	8a	-/c/9191	CNJ	וְ	wĕ
am001:006	8b	-/5921a/-	PREP	עַל־	ʿal-
am001:006	9	-/702/-	CARD.MASC.SG.ABS	אַרְבָּעָ֖ה	ʾarĕbāʿāh
am001:006	10	-/3808/3600	NEG	לֹ֣א	loʾ
am001:006	11	-/7725/-	Hiph.1cs.IMPF-3ms	אֲשִׁיבֶ֑נּוּ	ʾăšîb-enū
am001:006	12	-/5921a/-	PREP	עַל־	ʿal-
am001:006	13	-/1540/1473	Hiph.INF.CSTR-3mp	הַגְלוֹתָ֛ם	hagĕlowt-ām
am001:006	14	-/1546/1478	FEM.SG.ABS	גָּל֥וּת	gālūt
am001:006	15	-/8003/7750	ADJ.FEM.SG.ABS	שְׁלֵמָ֖ה	šĕlēmāh
am001:006	16a	-/l/3599	PREP	לְ	lĕ
am001:006	16b	-/5462/5187	INF.CSTR	הַסְגִּ֥יר	hasĕgîr
am001:006	17a	-/l/-	PREP	לֶ	le
am001:006	17b	-/123/0112	PR	אֱדֽוֹם׃	ʾĕdowm
am001:007	1a	-/c/9191	CNJ	וְ	wĕ
am001:007	1b	-/7971/7722	1cs.SEQ.PERF	שִׁלַּ֥חְתִּי	šilaḥĕtî
am001:007	2	-/784/0750	SG.ABS	אֵ֖שׁ	ʾēš
am001:007	3a	-/b/9082	PREP	בְּ	bĕ
am001:007	3b	-/2346/2225	FEM.SG.CSTR	חוֹמַ֣ת	ḥowmat
am001:007	4	-/5804/5531	PR	עַזָּ֑ה	ʿazāh
am001:007	5a	-/c/9191	CNJ	וְ	wĕ
am001:007	5b	-/398/0386	3fs.SEQ.PERF	אָכְלָ֖ה	ʾāḵĕlāh
am001:007	6	-/759/-	MASC.PL.CSTR-3fs	אַרְמְנֹתֶֽיהָ׃	ʾarĕmĕnotê-hā
am001:008	1a	-/c/9191	CNJ	וְ	wĕ
am001:008	1b	-/3772/-	1cs.SEQ.PERF	הִכְרַתִּ֤י	hiḵĕratî
am001:008	2	-/3427/3246	Qal.MASC.SG.ACT.PCP.ABS	יוֹשֵׁב֙	yowšēb
am001:008	3a	-/m/4247	PREP	מֵֽ	mē
am001:008	3b	-/795/-	PR	אַשְׁדּ֔וֹד	ʾašĕdowd
am001:008	4a	-/c/9191	CNJ	וְ	wĕ
am001:008	4b	-/8551/-	MASC.SG.ACT.PCP.CSTR	תוֹמֵ֥ךְ	towmēḵ
am001:008	5	-/7626/7479	MASC.SG.ABS	שֵׁ֖בֶט	šēbeṭ
am001:008	6a	-/m/4247	PREP	מֵֽ	mē
am001:008	6b	-/831/-	PR	אַשְׁקְל֑וֹן	ʾašĕqĕlown
am001:008	7a	-/c/-	CNJ	וַ	wa
am001:008	7b	-/7725/-	1cs.SEQ.PERF	הֲשִׁיב֨וֹתִי	hăšîbowtî
am001:008	8	-/3027/2889	SG.CSTR-1cs	יָדִ֜י	yād-î
am001:008	9	-/5921a/-	PREP	עַל־	ʿal-
am001:008	10	-/6138/-	PR	עֶקְר֗וֹן	ʿeqĕrown
am001:008	11a	-/c/9191	CNJ	וְ	wĕ
am001:008	11b	-/6/0004	3cp.SEQ.PERF	אָֽבְדוּ֙	ʾābĕdū
am001:008	12	-/7611/7466	FEM.SG.CSTR	שְׁאֵרִ֣ית	šĕʾērît
am001:008	13	-/6430/-	MASC.PL.ABS	פְּלִשְׁתִּ֔ים	pĕlišĕtîm
am001:008	14	-/559/0546	Qal.3ms.PERF	אָמַ֖ר	ʾāmar
am001:008	15	-/136/-	MASC.PL.CSTR-1cs	אֲדֹנָ֥י	ʾădonāy
am001:008	16	-/3069/2923	PR	יְהוִֽה׃	yĕhwih
am001:008	17=í	-/-	-	פ	f
am001:009	1	-/3541/3350	ADV	כֹּ֚ה	koh
am001:009	2	-/559/0546	Qal.3ms.PERF	אָמַ֣ר	ʾāmar
am001:009	3	-/3068/2923	PR	יְהוָ֔ה	yĕhwāh
am001:009	4	-/5921a/-	PREP	עַל־	ʿal-
am001:009	5	-/7969/-	CARD.MASC.SG.ABS	שְׁלֹשָׁה֙	šĕlošāh
am001:009	6	-/6588/6302	MASC.PL.CSTR	פִּשְׁעֵי־	pišĕʿê-
am001:009	7	-/6865/6583	PR	צֹ֔ר	ṣor
am001:009	8a	-/c/9191	CNJ	וְ	wĕ
am001:009	8b	-/5921a/-	PREP	עַל־	ʿal-
am001:009	9	-/702/-	CARD.MASC.SG.ABS	אַרְבָּעָ֖ה	ʾarĕbāʿāh
am001:009	10	-/3808/3600	NEG	לֹ֣א	loʾ
am001:009	11	-/7725/-	Hiph.1cs.IMPF-3ms	אֲשִׁיבֶ֑נּוּ	ʾăšîb-enū
am001:009	12	-/5921a/-	PREP	עַֽל־	ʿal-
